Event,Your earnings,Refunds & Expenses,Balance,Processed_Date,Year,Month,Weekday
UberX,7.28,1.68,8.96,2024-01-29,2024,January,Monday
UberX,6.17,1.61,7.78,2024-01-13,2024,January,Saturday
UberX,9.64,2.24,11.88,2024-01-13,2024,January,Saturday
Tips,1.0,0.0,1.0,2024-01-13,2024,January,Saturday
UberX,10.22,2.3,12.52,2024-01-13,2024,January,Saturday
UberX,18.92,3.92,22.84,2024-01-13,2024,January,Saturday
UberX,10.28,2.35,12.63,2024-01-13,2024,January,Saturday
UberX,4.52,1.21,5.73,2024-01-11,2024,January,Thursday
UberX,4.96,1.37,6.33,2024-01-11,2024,January,Thursday
UberX,5.03,1.33,6.36,2024-01-11,2024,January,Thursday
Comfort,10.84,2.68,13.52,2024-01-11,2024,January,Thursday
UberX Share,7.03,1.51,8.54,2024-01-11,2024,January,Thursday
UberX Share,7.89,1.65,9.54,2024-01-11,2024,January,Thursday
UberX Share,6.53,1.44,7.97,2024-01-11,2024,January,Thursday
UberX,4.76,1.3,6.06,2024-01-21,2024,January,Sunday
UberX,8.96,2.11,11.07,2024-01-21,2024,January,Sunday
UberX,4.99,1.39,6.38,2024-01-21,2024,January,Sunday
UberX,9.18,2.15,11.33,2024-01-21,2024,January,Sunday
UberX,5.04,1.39,6.43,2024-01-18,2024,January,Thursday
UberX,22.85,4.63,27.48,2024-01-18,2024,January,Thursday
UberX,6.99,1.69,8.68,2024-01-18,2024,January,Thursday
UberX,4.3,1.22,5.52,2024-01-18,2024,January,Thursday
UberX,16.58,3.49,20.07,2024-01-19,2024,January,Friday
UberX,3.52,1.05,4.57,2024-01-19,2024,January,Friday
UberX,9.51,2.21,11.72,2024-01-13,2024,January,Saturday
UberX,20.33,4.9,25.23,2024-01-19,2024,January,Friday
UberX,6.69,1.7,8.39,2024-01-19,2024,January,Friday
Tips,1.0,0.0,1.0,2024-01-19,2024,January,Friday
Tips,1.0,0.0,1.0,2024-01-19,2024,January,Friday
Tips,3.0,0.0,3.0,2024-01-20,2024,January,Saturday
UberX,6.09,1.59,7.68,2024-01-21,2024,January,Sunday
UberX,17.21,3.61,20.82,2024-01-21,2024,January,Sunday
Tips,12.0,0.0,12.0,2024-01-19,2024,January,Friday
UberX,9.01,2.12,11.13,2024-01-13,2024,January,Saturday
Tips,1.0,0.0,1.0,2024-01-13,2024,January,Saturday
UberX,3.23,0.97,4.2,2024-01-13,2024,January,Saturday
UberX,6.4,1.52,7.92,2024-01-30,2024,January,Tuesday
Tips,1.0,0.0,1.0,2024-01-30,2024,January,Tuesday
UberX,12.21,2.54,14.75,2024-01-30,2024,January,Tuesday
Comfort,25.67,5.5,31.17,2024-01-30,2024,January,Tuesday
Tips,7.17,0.0,7.17,2024-01-30,2024,January,Tuesday
Tips,3.0,0.0,3.0,2024-01-31,2024,January,Wednesday
UberX,4.31,1.09,5.4,2024-01-30,2024,January,Tuesday
UberX,9.82,2.14,11.96,2024-01-31,2024,January,Wednesday
UberX,22.81,4.41,27.22,2024-01-31,2024,January,Wednesday
Tips,5.74,0.0,5.74,2024-01-31,2024,January,Wednesday
UberX,4.32,1.09,5.41,2024-01-31,2024,January,Wednesday
UberX,4.26,1.08,5.34,2024-01-31,2024,January,Wednesday
UberX,7.65,1.7,9.35,2024-01-31,2024,January,Wednesday
UberX,18.73,3.72,22.45,2024-01-31,2024,January,Wednesday
UberX,10.12,2.16,12.28,2024-01-31,2024,January,Wednesday
